application_id,company_name,original_filename,outcome_label,paid_flag,not_paid_flag,defaulted_flag,industry,requested_loan,company_age_months,directors_score,director_defaults_12m,director_defaults_36m,director_ccj_count,director_ccj_value,business_ccj,Total Revenue,Monthly Average Revenue,Total Expenses,Net Income,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Gross Burn Rate,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,mca_rule_score,mca_rule_decision,subprime_score,subprime_tier,final_decision
101836,Echo & Ink,Echo & Ink.json,unlabelled,False,False,False,Other,2000.0,27,0,0.0,0.0,0.0,0.0,False,7554.63,944.33,7648.55,-93.92,0.0,0.0,-0.012,10.0,956.07,2.0,0.5,1000.0,10,0,30,DECLINE,41.0,Tier 4,DECLINE
100016,Sorin&George Ltd,Sorin&George Ltd.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,135626.17,10432.78,207670.91,-72044.74,86071.19,0.635,-0.531,3.59,15974.69,0.462,-0.11,1000.0,4,0,60,REFER,50.3,Tier 3,DECLINE
101604,Snaan Limited,Snaan Limited.json,unlabelled,False,False,False,Other,10000.0,40,59,0.0,4.0,2.0,15247.0,False,58678.24,7334.78,66191.87,-7513.63,1000.0,0.017,-0.128,50.0,8273.98,0.956,0.28,1000.0,9,0,30,DECLINE,57.8,Tier 4,DECLINE
100344,Taylor Floristry Ltd,Taylor Floristry LTD.json,unlabelled,False,False,False,Other,2000.0,24,0,0.0,0.0,0.0,0.0,False,229828.67,22982.87,293764.37,-63935.7,73750.0,0.321,-0.278,28.41,29376.44,0.467,0.26,1000.0,4,0,60,REFER,58.2,Tier 2,DECLINE
100315,Steerlux,Steerlux.json,unlabelled,False,False,False,Other,7000.0,24,0,0.0,0.0,0.0,0.0,False,513.88,256.94,254.72,259.16,0.0,0.0,0.504,10.0,127.36,1.414,-0.5,1000.0,10,0,30,DECLINE,42.1,Tier 4,DECLINE
100390,Dar Hire London Ltd,DAR Hire London Ltd.json,unlabelled,False,False,False,Other,7000.0,23,74,0.0,1.0,1.0,4236.0,False,132106.14,10162.01,123714.12,8392.02,3192.26,0.024,0.064,9.38,9516.47,0.482,-0.04,1000.0,4,0,60,REFER,70.5,Tier 2,DECLINE
100346,Equinim,Equinim.json,unlabelled,False,False,False,Other,10000.0,52,78,0.0,0.0,1.0,2891.0,False,155827.84,12985.65,156201.22,-373.38,3170.0,0.02,-0.002,50.0,13016.77,0.45,-0.05,1000.0,4,0,60,REFER,72.1,Tier 2,DECLINE
100275,Dkc Menswear Ltd,DKC Menswear Ltd.json,unlabelled,False,False,False,Other,2000.0,136,74,0.0,0.0,0.0,0.0,False,90386.4,6952.8,103122.79,-12736.39,14440.37,0.16,-0.141,13.95,7932.52,0.772,0.21,1000.0,7,0,30,DECLINE,65.1,Tier 3,DECLINE
100016,Funk Up Events Limited,Funk up Events limited.json,unlabelled,False,False,False,Other,2000.0,32,65,0.0,0.0,0.0,0.0,False,57888.3,4452.95,57813.19,75.11,0.0,0.0,0.001,10.0,4447.17,0.798,-0.01,1000.0,7,0,30,DECLINE,59.5,Tier 3,DECLINE
100194,Northwest Cleaning Experts,Northwest cleaning experts.json,unlabelled,False,False,False,Other,10000.0,27,78,1.0,4.0,0.0,0.0,False,6799.07,523.01,5179.04,1620.03,0.0,0.0,0.238,5.08,398.39,1.254,0.5,1000.0,10,0,30,DECLINE,68.9,Tier 4,DECLINE
