application_id,company_name,original_filename,outcome_label,paid_profile_similarity,paid_lookalike_band,nearest_paid_case,nearest_paid_similarity,features_used,subprime_score,mca_rule_score,final_decision
101794,Creative Plus Media Ltd,Creative Plus Media Ltd.json,unlabelled,85.73151234888775,Strong paid lookalike,Apollo Supermarket(1),73.14051641294293,21,72.5,60,DECLINE
101787,Rizpicks Travels Ltd,rizpicks travels ltd.json,unlabelled,83.83377448733603,Strong paid lookalike,Apollo Supermarket(1),70.76738720154536,21,74.4,60,DECLINE
100016,Bistro Bites Ltd,Bistro bites ltd.json,unlabelled,81.38632439978313,Strong paid lookalike,D&C Couriers Limited(1),78.00996579515352,21,66.7,60,DECLINE
101768,Mens Hair London,Mens Hair London.json,unlabelled,81.05557845433944,Strong paid lookalike,D&C Couriers Limited(1),72.94585494094991,21,69.1,60,DECLINE
101619,The Nail Label Limited,The Nail Label Limited.json,unlabelled,80.87623986922533,Strong paid lookalike,D&C Couriers Limited(1),65.99368654643453,21,71.1,60,DECLINE
101837,Auto Repairs Basingstoke Ltd,Auto Repairs Basingstoke Ltd.json,unlabelled,80.21837695063847,Strong paid lookalike,Apollo Supermarket(1),68.70806104984446,21,67.8,60,DECLINE
101854,Ings Pet Store & Grooming Ltd,INGS PET STORE & GROOMING LTD.json,unlabelled,80.20391742068838,Strong paid lookalike,Apollo Supermarket(1),71.28680526464649,21,67.4,60,DECLINE
101839,Aesthetic Precision,Aesthetic Precision.json,unlabelled,80.10915856374787,Strong paid lookalike,D&C Couriers Limited(1),71.56507590756634,21,78.3,60,SENIOR_REVIEW
100390,Dar Hire London Ltd,DAR Hire London Ltd.json,unlabelled,80.05652564997453,Strong paid lookalike,Apollo Supermarket(1),67.78078980944366,21,70.5,60,DECLINE
100398,Meli'S Landscaping Ltd(1),Meli's Landscaping Ltd(1).json,unlabelled,79.86115234978278,Strong paid lookalike,D&C Couriers Limited(1),67.80238043590126,21,77.4,60,SENIOR_REVIEW
100398,Meli'S Landscaping Ltd,Meli's Landscaping Ltd.json,unlabelled,79.86115234978278,Strong paid lookalike,D&C Couriers Limited(1),67.80238043590126,21,77.4,60,SENIOR_REVIEW
