json_file,outcome_label,in_paid_upload,in_not_paid_upload
Echo & Ink.json,unlabelled,False,False
Sorin&George Ltd.json,unlabelled,False,False
Snaan Limited.json,unlabelled,False,False
Taylor Floristry LTD.json,unlabelled,False,False
Steerlux.json,unlabelled,False,False
DAR Hire London Ltd.json,unlabelled,False,False
Equinim.json,unlabelled,False,False
DKC Menswear Ltd.json,unlabelled,False,False
Funk up Events limited.json,unlabelled,False,False
Northwest cleaning experts.json,unlabelled,False,False
Km luxury enterprises.json,unlabelled,False,False
Differencesnotdisabilities.json,unlabelled,False,False
D & C Couriers Ltd app 3.json,unlabelled,False,False
ARYAANCOMPANY LtD.json,unlabelled,False,False
KC Group Of Companies Ltd.json,unlabelled,False,False
Bistro bites ltd.json,unlabelled,False,False
ELIJA LIMITED.json,unlabelled,False,False
Sloppy coffee ltd.json,unlabelled,False,False
Nova pubs Ltd.json,unlabelled,False,False
As Derby restaurants ltd.json,unlabelled,False,False
Quantome Commerce LTd.json,unlabelled,False,False
PlumbSussex Ltd.json,unlabelled,False,False
Aurina Ltd.json,unlabelled,False,False
Beddoes removals and stotage.json,unlabelled,False,False
Mar carpio ltd.json,unlabelled,False,False
Cleaner Than Ever Norbury Ltd.json,unlabelled,False,False
Sag Hussain Retail Ltd.json,unlabelled,False,False
Habitat music studios ltd app 2.json,unlabelled,False,False
Habitat music studios ltd.json,unlabelled,False,False
Rb market limited app 2.json,unlabelled,False,False
Mundy Grooming Ltd.json,unlabelled,False,False
Ings pet store & grooming ltd app 2.json,unlabelled,False,False
KGKSURREY.co.uk.json,unlabelled,False,False
Canny fast car solutions Ltd.json,unlabelled,False,False
Dottie dances ltd.json,unlabelled,False,False
WMJ group limited.json,unlabelled,False,False
Nadia miah hair and skin ltd.json,unlabelled,False,False
RJ ELITE PROPERTY MANAGEMENT app 4.json,unlabelled,False,False
CHEERS&CHILL LIMITED.json,unlabelled,False,False
Davaro limited.json,unlabelled,False,False
Peak Platform websites ltd.json,unlabelled,False,False
Aesthetic Precision.json,unlabelled,False,False
Havelock Group Ltd TA New Longcar.json,unlabelled,False,False
Auto Repairs Basingstoke Ltd.json,unlabelled,False,False
MADINSKA & CO LTD app 5.json,unlabelled,False,False
Faith & Love nursery Ltd.json,unlabelled,False,False
Ayaz Tyres & Wheels ltd.json,unlabelled,False,False
TASTE OF BENGAL BROADWAY LTD.json,unlabelled,False,False
HERNE HILL DRY CLEANERS LIMITED.json,unlabelled,False,False
Peter G ltd.json,unlabelled,False,False
Due Auto Motive LTD.json,unlabelled,False,False
Quantome Commerce.json,unlabelled,False,False
RJ ELITE PROPERTY MANAGEMENT app 3.json,unlabelled,False,False
Rb market limited.json,unlabelled,False,False
RLK Technologies Limited.json,unlabelled,False,False
GRAZKA LIMITED.json,unlabelled,False,False
BLOSSOM SALON LTD.json,unlabelled,False,False
GC COUTURE LTD.json,unlabelled,False,False
Rb Allsort limited.json,unlabelled,False,False
The spirits corner hull Ltd.json,unlabelled,False,False
Trim fadeys limited.json,unlabelled,False,False
Party2perfection LTD.json,unlabelled,False,False
Noble parking ltd.json,unlabelled,False,False
SOLICAL STADIUMS LTD.json,unlabelled,False,False
rowley dunleavy services limited.json,unlabelled,False,False
Four Paws Walking And Training Ltd app 4.json,unlabelled,False,False
INGS PET STORE & GROOMING LTD.json,unlabelled,False,False
Haus of sass limited by Stephanie limited.json,unlabelled,False,False
D&C Couriers Ltd app 3.json,unlabelled,False,False
RJ ELITE PROPERTY MANAGEMENT app 2.json,unlabelled,False,False
SF elections Hub limited.json,unlabelled,False,False
WHITE ROCK TRADING LIMITED.json,unlabelled,False,False
The CEO Lounge Ltd.json,unlabelled,False,False
Joao motorcycles Ltd app 2.json,unlabelled,False,False
Gem drycleaning & tailoring services ltd.json,unlabelled,False,False
Stormhold hospitality Ltd app 2.json,unlabelled,False,False
