file,status,transaction_count,date_min,date_max,revenue_total,non_revenue_credit_total,uncategorised_count,failed_payment_count,loan_credit_count,debt_repayment_count,exception_count
JsonExport/22Lush Limited - 22Lush Limited Transaction Report.json,ok,381,2024-01-19,2024-08-18,23304.5,21314.69,0.0,0.0,0.0,5.0,6.0
"JsonExport/22Lush Limited Transaction Report_0,0.json",ok,381,2024-01-19,2024-08-18,23304.5,21314.69,0.0,0.0,0.0,5.0,6.0
JsonExport/22Lush Limited Transaction Report_categorized(1).json,ok,381,2024-01-19,2024-08-18,23304.5,21314.69,0.0,0.0,0.0,5.0,6.0
JsonExport/22Lush Limited Transaction Report_categorized.json,ok,381,2024-01-19,2024-08-18,23304.5,0.0,0.0,0.0,0.0,6.0,0.0
"JsonExport/22Lush Limited Transaction Report_categorized_0,0.json",ok,381,2024-01-19,2024-08-18,23304.5,21314.69,0.0,0.0,0.0,5.0,6.0
JsonExport/A&A Building Construction Ltd.json,ok,229,2024-03-03,2025-02-17,3859.34,31652.67,0.0,0.0,0.0,6.0,12.0
JsonExport/A1 Painting and Decorating LTD.json,ok,367,2024-09-13,2025-04-15,5300.0,26532.29,0.0,0.0,0.0,12.0,10.0
JsonExport/Accounted Ltd.json,ok,1173,2023-11-24,2024-07-10,21795.84,45637.31,0.0,9.0,1.0,13.0,28.0
"JsonExport/Accounted Ltd_0,0.json",ok,1173,2023-11-24,2024-07-10,21795.84,45637.31,0.0,9.0,1.0,13.0,28.0
JsonExport/Advanced Automotive Performance Ltd - GetReportByID.json,ok,5231,2023-07-08,2024-07-08,13652.52,488828.13,0.0,5.0,38.0,403.0,692.0
"JsonExport/Advanced Automotive Performance Ltd_0,0.json",ok,5231,2023-07-08,2024-07-08,13652.52,488828.13,0.0,5.0,38.0,403.0,692.0
JsonExport/Advanced Automotive Performance Ltd_categorized.json,ok,5231,2023-07-08,2024-07-08,13606.73,0.0,0.0,5.0,30.0,412.0,3.0
JsonExport/ADVANCED SCAFFOLDING SOLUTIONS LIMITED - GetReportByID.json,ok,121,2024-05-13,2025-05-06,0.0,39316.61,0.0,0.0,0.0,17.0,7.0
JsonExport/Aesthetic Precision.json,ok,742,2025-01-06,2026-01-05,59201.61,12716.7,0.0,1.0,2.0,9.0,3.0
JsonExport/Akar Food Ltd.json,ok,170,2023-12-12,2024-10-22,0.0,79677.0,0.0,0.0,0.0,2.0,44.0
JsonExport/AKLE HEALTHCARE SUPPORT LTD - GetReportByID.json,ok,2101,2024-05-08,2025-05-07,5823.67,74854.04,0.0,1.0,12.0,43.0,14.0
JsonExport/Aksz Ltd - GetReportByID.json,ok,100,2024-01-17,2024-02-05,0.0,2728.7,0.0,0.0,1.0,2.0,1.0
JsonExport/Alex Sounthhampton.json,ok,3597,2023-07-01,2024-07-01,222723.38,521021.53,0.0,0.0,1.0,17.0,263.0
"JsonExport/Alex Sounthhampton_0,0.json",ok,3597,2023-07-01,2024-07-01,222723.38,521021.53,0.0,0.0,1.0,17.0,263.0
JsonExport/Alex Sounthhampton_categorized.json,ok,3597,2023-07-01,2024-07-01,219808.51,0.0,0.0,0.0,1.0,525.0,63.0
JsonExport/All in the wrap Limited.json,ok,5,2024-04-23,2024-05-17,0.0,55.98,0.0,0.0,0.0,2.0,0.0
"JsonExport/All in the wrap Limited_0,0.json",ok,5,2024-04-23,2024-05-17,0.0,55.98,0.0,0.0,0.0,2.0,0.0
JsonExport/All in the wrap Limited_categorized.json,ok,5,2024-04-23,2024-05-17,0.0,0.0,0.0,0.0,0.0,2.0,0.0
JsonExport/Allure Salon (UK) Ltd.json,ok,1631,2023-11-22,2024-11-22,72985.14,40633.61,0.0,1.0,5.0,122.0,36.0
JsonExport/Alma Deli Ltd.json,ok,1860,2023-09-11,2024-09-11,5408.0,480390.39,0.0,0.0,0.0,1.0,399.0
JsonExport/Alto Barren Plumbing & Heating Ltd - GetReportByID.json,ok,100,2023-12-22,2024-02-14,3954.67,12970.04,0.0,9.0,0.0,4.0,2.0
JsonExport/Anthony Healthcare Ltd 2nd app - GetReportByID.json,ok,357,2023-08-28,2024-06-19,21845.42,27727.1,0.0,15.0,2.0,17.0,12.0
"JsonExport/Anthony Healthcare Ltd_0,0.json",ok,357,2023-08-28,2024-06-19,21845.42,27727.1,0.0,15.0,2.0,17.0,12.0
JsonExport/Anthony Healthcare Ltd_categorized.json,ok,357,2023-08-28,2024-06-19,21845.42,0.0,0.0,15.0,0.0,19.0,0.0
