plaid_detailed,subcategory,count
transfer_out_account_transfer,Transfer Out,170943
transfer_in_account_transfer,Transfer In,131546
food_and_drink_groceries,Expenses,41760
income_wages,Income,36887
general_services_other_general_services,Expenses,34858
food_and_drink_restaurant,Expenses,33975
transfer_in_savings,Transfer In,32254
general_merchandise_online_marketplaces,Expenses,26258
transportation_gas,Expenses,25308
loan_payments_personal_loan_payment,Debt Repayments,25192
transfer_out_savings,Transfer Out,17982
transfer_out_other_transfer_out,Transfer Out,16026
transfer_in_cash_advances_and_loans,Income,15214
transportation_taxis_and_ride_shares,Expenses,9747
general_services_postage_and_shipping,Expenses,9725
food_and_drink_fast_food,Expenses,8593
loan_payments_credit_card_payment,Debt Repayments,8293
transfer_out_withdrawal,Transfer Out,8187
general_merchandise_other_general_merchandise,Expenses,8141
home_improvement_hardware,Expenses,7481
general_merchandise_clothing_and_accessories,Expenses,7252
entertainment_casinos_and_gambling,Expenses,6810
rent_and_utilities_gas_and_electricity,Expenses,6810
loan_payments_other_payment,Debt Repayments,6751
general_merchandise_online_marketplaces,Special Inflow,6476
transfer_in_other_transfer_in,Transfer In,6321
rent_and_utilities_telephone,Expenses,6302
general_services_insurance,Expenses,6155
transportation_public_transit,Expenses,6150
general_merchandise_electronics,Expenses,5640
general_services_automotive,Expenses,5619
transfer_in_cash_advances_and_loans,Loans,5316
general_merchandise_convenience_stores,Expenses,5286
general_services_accounting_and_financial_planning,Expenses,4816
transfer_out_investment_and_retirement_funds,Transfer Out,4787
income_other_income,Income,4333
rent_and_utilities_rent,Expenses,4074
transportation_parking,Expenses,3985
personal_care_hair_and_beauty,Expenses,3909
food_and_drink_coffee,Expenses,3733
entertainment_tv_and_movies,Expenses,3684
government_and_non_profit_government_departments_and_agencies,Expenses,3660
entertainment_sporting_events_amusement_parks_and_museums,Expenses,3560
travel_lodging,Expenses,3306
bank_fees_other_bank_fees,Bank Charge,3078
food_and_drink_other_food_and_drink,Expenses,3035
entertainment_other_entertainment,Expenses,2776
bank_fees_foreign_transaction_fees,Bank Charge,2754
transfer_in_deposit,Transfer In,2568
general_services_consulting_and_legal,Expenses,2428
bank_fees_interest_charge,Bank Charge,2277
personal_care_gyms_and_fitness_centers,Expenses,2217
food_and_drink_beer_wine_and_liquor,Expenses,2144
entertainment_video_games,Expenses,2058
general_merchandise_gifts_and_novelties,Expenses,1978
government_and_non_profit_tax_payment,Expenses,1850
general_merchandise_department_stores,Expenses,1785
home_improvement_furniture,Expenses,1659
transportation_taxis_and_ride_shares,Income,1615
