original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
ARYAANCOMPANY LtD.json,ARYAANCOMPANY Ltd,ARYAANCOMPANY Ltd.json,1,unique,True,1499779,1775658938.0
"AS Cladding and Roofing Ltd_0,0.json",AS Cladding And Roofing Ltd,AS Cladding And Roofing Ltd.json,1,unique,True,208366,1771591341.9647334
As Derby restaurants ltd.json,As Derby Restaurants Ltd,As Derby Restaurants Ltd.json,1,unique,True,3685125,1773048406.0
Bistro bites ltd.json,Bistro Bites Ltd,Bistro Bites Ltd.json,1,unique,True,526497,1774521327.0
BUHARY CONSTRUCTIONS LTD - GetReportByID.json,BUHARY CONSTRUCTIONS Ltd,BUHARY CONSTRUCTIONS Ltd.json,1,unique,True,406754,1744882844.0
Car Connect Rentals.json,Car Connect Rentals,Car Connect Rentals.json,1,unique,False,189045,1771591290.2466197
Coasties Collectables Ltd.json,Coasties Collectables Ltd,Coasties Collectables Ltd.json,1,unique,False,634639,1774021076.0
Cola Ship Limited - GetReportByID.json,Cola Ship Limited,Cola Ship Limited.json,1,unique,True,1287052,1748860939.0
CS Sports.json,CS Sports,CS Sports.json,1,unique,False,181821,1746006665.0
D & C Couriers Ltd app 3.json,D & C Couriers Ltd,D & C Couriers Ltd.json,1,unique,True,223776,1775721865.0
D&C Couriers Limited.json,D&C Couriers Limited,D&C Couriers Limited - 01.json,3,collision_numbered,True,80206,1723628130.0
"D&C Couriers Limited_1,0.json",D&C Couriers Limited,D&C Couriers Limited - 02.json,3,collision_numbered,True,122654,1726855020.0
D&C Couriers Limited_categorized.json,D&C Couriers Limited,D&C Couriers Limited - 03.json,3,collision_numbered,True,126344,1726256725.0
D&C Couriers Orginal Bank acc.json,D&C Couriers,D&C Couriers.json,1,unique,True,257401,1731938225.0
DAR Hire London Ltd.json,DAR Hire London Ltd,DAR Hire London Ltd.json,1,unique,False,1520460,1776857163.0
Differencesnotdisabilities.json,Differencesnotdisabilities,Differencesnotdisabilities.json,1,unique,False,2244641,1775808648.0
DKC Menswear Ltd.json,DKC Menswear Ltd,DKC Menswear Ltd.json,1,unique,False,1009880,1776246499.0
DLC lighting limited - Transaction Report.json,DLC Lighting Limited,DLC Lighting Limited.json,1,unique,True,180265,1719911806.0
DRP decorators ltd.json,DRP Decorators Ltd,DRP Decorators Ltd.json,1,unique,True,383097,1772300591.0
E & R IRVING FISHMONGERS LTD.json,E & R IRVING FISHMONGERS Ltd,E & R IRVING FISHMONGERS Ltd.json,1,unique,True,445816,1779176788.0
Echo & Ink.json,Echo & Ink,Echo & Ink.json,1,unique,False,406800,1778226843.0
ELIJA LIMITED.json,ELIJA Limited,ELIJA Limited.json,1,unique,True,3397559,1774430950.0
Ellevate Limited - GetReportByID (1)(1).json,Ellevate Limited,Ellevate Limited - 01.json,6,collision_numbered,True,484945,1752749517.0
Ellevate Limited - GetReportByID 050625.json,Ellevate Limited,Ellevate Limited - 02.json,6,collision_numbered,True,477810,1749118466.0
Ellevate Limited - GetReportByID 3.json,Ellevate Limited,Ellevate Limited - 03.json,6,collision_numbered,True,492868,1746186038.0
Ellevate Limited - GetReportByID1.json,Ellevate Limited,Ellevate Limited - 04.json,6,collision_numbered,True,488883,1745838797.0
Ellevate Limited - GetReportByID2.json,Ellevate Limited,Ellevate Limited - 05.json,6,collision_numbered,True,494067,1746091965.0
Ellevate Limited.json,Ellevate Limited,Ellevate Limited - 06.json,6,collision_numbered,True,488038,1771591381.9502244
