original_filename,temporary_filename,proposed_filename,stage
"22Lush Limited Transaction Report_0,0.json",".codex-renaming-135028933bdb-22Lush Limited Transaction Report_0,0.json",22Lush Limited.json,temporary
A1 Painting and Decorating LTD.json,.codex-renaming-135028933bdb-A1 Painting and Decorating LTD.json,A1 Painting And Decorating Ltd.json,temporary
"Accounted Ltd_0,0.json",".codex-renaming-135028933bdb-Accounted Ltd_0,0.json",Accounted Ltd.json,temporary
Advanced Automotive Performance Ltd_categorized.json,.codex-renaming-135028933bdb-Advanced Automotive Performance Ltd_categorized.json,Advanced Automotive Performance Ltd.json,temporary
ADVANCED SCAFFOLDING SOLUTIONS LIMITED - GetReportByID.json,.codex-renaming-135028933bdb-ADVANCED SCAFFOLDING SOLUTIONS LIMITED - GetReportByID.json,ADVANCED SCAFFOLDING SOLUTIONS Limited.json,temporary
AKLE HEALTHCARE SUPPORT LTD - GetReportByID.json,.codex-renaming-135028933bdb-AKLE HEALTHCARE SUPPORT LTD - GetReportByID.json,AKLE HEALTHCARE SUPPORT Ltd.json,temporary
Aksz Ltd - GetReportByID.json,.codex-renaming-135028933bdb-Aksz Ltd - GetReportByID.json,Aksz Ltd.json,temporary
"Alex Sounthhampton_0,0.json",".codex-renaming-135028933bdb-Alex Sounthhampton_0,0.json",Alex Sounthhampton.json,temporary
"All in the wrap Limited_0,0.json",".codex-renaming-135028933bdb-All in the wrap Limited_0,0.json",All In The Wrap Limited.json,temporary
Alto Barren Plumbing & Heating Ltd - GetReportByID.json,.codex-renaming-135028933bdb-Alto Barren Plumbing & Heating Ltd - GetReportByID.json,Alto Barren Plumbing & Heating Ltd.json,temporary
"Anthony Healthcare Ltd_0,0.json",".codex-renaming-135028933bdb-Anthony Healthcare Ltd_0,0.json",Anthony Healthcare Ltd.json,temporary
Anthony transport ltd - GetReportByID.json,.codex-renaming-135028933bdb-Anthony transport ltd - GetReportByID.json,Anthony Transport Ltd.json,temporary
Apex Kitchen Limited - GetReportByID (1)(1).json,.codex-renaming-135028933bdb-Apex Kitchen Limited - GetReportByID (1)(1).json,Apex Kitchen Limited.json,temporary
Apollo Cornwall Travel Limited Transaction Report.json,.codex-renaming-135028933bdb-Apollo Cornwall Travel Limited Transaction Report.json,Apollo Cornwall Travel Limited.json,temporary
"Apollo Supermarket_1,0.json",".codex-renaming-135028933bdb-Apollo Supermarket_1,0.json",Apollo Supermarket.json,temporary
"Apprintable Limited Transaction Report_0,0.json",".codex-renaming-135028933bdb-Apprintable Limited Transaction Report_0,0.json",Apprintable Limited.json,temporary
Arcane Acres Limited - GetReportByID.json,.codex-renaming-135028933bdb-Arcane Acres Limited - GetReportByID.json,Arcane Acres Limited.json,temporary
ARTHUR'S IT SERVICES LIMITED - GetReportByID.json,.codex-renaming-135028933bdb-ARTHUR'S IT SERVICES LIMITED - GetReportByID.json,ARTHUR'S IT SERVICES Limited.json,temporary
ARYAANCOMPANY LtD.json,.codex-renaming-135028933bdb-ARYAANCOMPANY LtD.json,ARYAANCOMPANY Ltd.json,temporary
"AS Cladding and Roofing Ltd_0,0.json",".codex-renaming-135028933bdb-AS Cladding and Roofing Ltd_0,0.json",AS Cladding And Roofing Ltd.json,temporary
As Derby restaurants ltd.json,.codex-renaming-135028933bdb-As Derby restaurants ltd.json,As Derby Restaurants Ltd.json,temporary
As You Like It Building Services LTD - GetReportByID.json,.codex-renaming-135028933bdb-As You Like It Building Services LTD - GetReportByID.json,As You Like IT Building Services Ltd.json,temporary
