original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
"22Lush Limited Transaction Report_0,0.json",22Lush Limited,22Lush Limited.json,1,unique,True,775452,1771591340.5264962
A&A Building Construction Ltd.json,A&A Building Construction Ltd,A&A Building Construction Ltd.json,1,unique,False,310176,1771591286.250429
A1 Painting and Decorating LTD.json,A1 Painting And Decorating Ltd,A1 Painting And Decorating Ltd.json,1,unique,True,500972,1744715698.0
"Accounted Ltd_0,0.json",Accounted Ltd,Accounted Ltd.json,1,unique,True,2510876,1771591342.0805922
Advanced Automotive Performance Ltd_categorized.json,Advanced Automotive Performance Ltd,Advanced Automotive Performance Ltd.json,1,unique,True,11157884,1726256721.0
ADVANCED SCAFFOLDING SOLUTIONS LIMITED - GetReportByID.json,ADVANCED SCAFFOLDING SOLUTIONS Limited,ADVANCED SCAFFOLDING SOLUTIONS Limited.json,1,unique,True,162282,1746783823.0
Aesthetic Precision.json,Aesthetic Precision,Aesthetic Precision.json,1,unique,False,1007805,1771591287.1309536
Akar Food Ltd.json,Akar Food Ltd,Akar Food Ltd.json,1,unique,False,211671,1771591287.1889422
AKLE HEALTHCARE SUPPORT LTD - GetReportByID.json,AKLE HEALTHCARE SUPPORT Ltd,AKLE HEALTHCARE SUPPORT Ltd.json,1,unique,True,2934256,1746699758.0
Aksz Ltd - GetReportByID.json,Aksz Ltd,Aksz Ltd.json,1,unique,True,185467,1719500317.0
"Alex Sounthhampton_0,0.json",Alex Sounthhampton,Alex Sounthhampton.json,1,unique,True,7071773,1771591349.145116
"All in the wrap Limited_0,0.json",All In The Wrap Limited,All In The Wrap Limited.json,1,unique,True,10337,1771591352.9268157
Allure Salon (UK) Ltd.json,Allure Salon (UK) Ltd,Allure Salon (UK) Ltd.json,1,unique,False,2251463,1771591287.730677
Alma Deli Ltd.json,Alma Deli Ltd,Alma Deli Ltd.json,1,unique,False,2392375,1726066438.0
Alto Barren Plumbing & Heating Ltd - GetReportByID.json,Alto Barren Plumbing & Heating Ltd,Alto Barren Plumbing & Heating Ltd.json,1,unique,True,183458,1719501168.0
"Anthony Healthcare Ltd_0,0.json",Anthony Healthcare Ltd,Anthony Healthcare Ltd.json,1,unique,True,726762,1771591352.9436445
Anthony transport ltd - GetReportByID.json,Anthony Transport Ltd,Anthony Transport Ltd.json,1,unique,True,117374,1719501901.0
Anzin Marketing Ltd.json,Anzin Marketing Ltd,Anzin Marketing Ltd.json,1,unique,False,94266,1726742578.0
Apex Kitchen Limited - GetReportByID (1)(1).json,Apex Kitchen Limited,Apex Kitchen Limited.json,1,unique,True,57281,1752744564.0
Apollo Cornwall Travel Limited Transaction Report.json,Apollo Cornwall Travel Limited,Apollo Cornwall Travel Limited.json,1,unique,True,800131,1723113998.0
"Apollo Supermarket_1,0.json",Apollo Supermarket,Apollo Supermarket.json,1,unique,True,798035,1771591353.4766326
"Apprintable Limited Transaction Report_0,0.json",Apprintable Limited,Apprintable Limited.json,1,unique,True,5564453,1771591353.7768977
Arcane Acres Limited - GetReportByID.json,Arcane Acres Limited,Arcane Acres Limited.json,1,unique,True,1258328,1745403932.0
ARTHUR'S IT SERVICES LIMITED - GetReportByID.json,ARTHUR'S IT SERVICES Limited,ARTHUR'S IT SERVICES Limited.json,1,unique,True,185018,1719502447.0
ARYAANCOMPANY LtD.json,ARYAANCOMPANY Ltd,ARYAANCOMPANY Ltd.json,1,unique,True,1499779,1775658938.0
"AS Cladding and Roofing Ltd_0,0.json",AS Cladding And Roofing Ltd,AS Cladding And Roofing Ltd.json,1,unique,True,208366,1771591341.9647334
As Derby restaurants ltd.json,As Derby Restaurants Ltd,As Derby Restaurants Ltd.json,1,unique,True,3685125,1773048406.0
As You Like It Building Services LTD - GetReportByID.json,As You Like IT Building Services Ltd,As You Like IT Building Services Ltd.json,1,unique,True,200768,1719502848.0
Ashby Street Motors Ltd.json,Ashby Street Motors Ltd,Ashby Street Motors Ltd.json,1,unique,False,1386432,1771591288.563789
Asmaraltd.json,Asmaraltd,Asmaraltd.json,1,unique,False,336057,1750943241.0
Aspect Projects - GetReportByID (1)(1).json,Aspect Projects,Aspect Projects.json,1,unique,True,192269,1752750046.0
Astra Power Generation Limited - GetReportByID.json,Astra Power Generation Limited,Astra Power Generation Limited.json,1,unique,True,121179,1719504298.0
Aurina Ltd.json,Aurina Ltd,Aurina Ltd.json,1,unique,False,3675290,1771591288.654766
Auto Repairs Basingstoke Ltd.json,Auto Repairs Basingstoke Ltd,Auto Repairs Basingstoke Ltd.json,1,unique,False,2354921,1771591288.813707
AYA & Partners - GetReportByID (1)(1).json,AYA & Partners,AYA & Partners.json,1,unique,True,190274,1752749469.0
Ayaz Tyres & Wheels ltd.json,Ayaz Tyres & Wheels Ltd,Ayaz Tyres & Wheels Ltd.json,1,unique,True,1482624,1771591288.932833
Baby ultrasound clinic limited.json,Baby Ultrasound Clinic Limited,Baby Ultrasound Clinic Limited.json,1,unique,True,7612896,1771591289.264123
Baig halal butcher ltd.json,Baig Halal Butcher Ltd,Baig Halal Butcher Ltd.json,1,unique,True,990607,1771591289.5969489
"BBD Services Ltd Transaction Report_0,0.json",BBD Services Ltd,BBD Services Ltd.json,1,unique,True,1065480,1771591359.467711
BD HEALTH SOLUTIONS LTD - GetReportByID.json,BD HEALTH SOLUTIONS Ltd,BD HEALTH SOLUTIONS Ltd.json,1,unique,True,159769,1719560029.0
Beddoes removals and stotage.json,Beddoes Removals And Stotage,Beddoes Removals And Stotage.json,1,unique,True,2957438,1771591289.6637142
Bedew Skin Ltd_categorized.json,Bedew Skin Ltd,Bedew Skin Ltd.json,1,unique,True,4708449,1726256723.0
"Befirst Constructions Ltd - Transaction Report_0,0.json",Befirst Constructions Ltd,Befirst Constructions Ltd.json,1,unique,True,1476839,1771591362.8079324
Beforethefall - GetReportByID.json,Beforethefall,Beforethefall - 01.json,2,collision_numbered,True,2842321,1720426889.0
Beforethefall_categorized.json,Beforethefall,Beforethefall - 02.json,2,collision_numbered,True,4527233,1771591364.8565874
