original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
22Lush Limited.json,22Lush Limited,22Lush Limited.json,1,unique,False,775452,1771591340.5264962
A&A Building Construction Ltd.json,A&A Building Construction Ltd,A&A Building Construction Ltd.json,1,unique,False,310176,1771591286.250429
A1 Painting And Decorating Ltd.json,A1 Painting And Decorating Ltd,A1 Painting And Decorating Ltd.json,1,unique,False,500972,1744715698.0
Accounted Ltd.json,Accounted Ltd,Accounted Ltd.json,1,unique,False,2510876,1771591342.0805922
Advanced Automotive Performance Ltd.json,Advanced Automotive Performance Ltd,Advanced Automotive Performance Ltd.json,1,unique,False,11157884,1726256721.0
ADVANCED SCAFFOLDING SOLUTIONS Limited.json,ADVANCED SCAFFOLDING SOLUTIONS Limited,ADVANCED SCAFFOLDING SOLUTIONS Limited.json,1,unique,False,162282,1746783823.0
Aesthetic Precision.json,Aesthetic Precision,Aesthetic Precision.json,1,unique,False,1007805,1771591287.1309536
Akar Food Ltd.json,Akar Food Ltd,Akar Food Ltd.json,1,unique,False,211671,1771591287.1889422
AKLE HEALTHCARE SUPPORT Ltd.json,AKLE HEALTHCARE SUPPORT Ltd,AKLE HEALTHCARE SUPPORT Ltd.json,1,unique,False,2934256,1746699758.0
Aksz Ltd.json,Aksz Ltd,Aksz Ltd.json,1,unique,False,185467,1719500317.0
Alex Sounthhampton.json,Alex Sounthhampton,Alex Sounthhampton.json,1,unique,False,7071773,1771591349.145116
All In The Wrap Limited.json,All In The Wrap Limited,All In The Wrap Limited.json,1,unique,False,10337,1771591352.9268157
Allure Salon (UK) Ltd.json,Allure Salon (UK) Ltd,Allure Salon (UK) Ltd.json,1,unique,False,2251463,1771591287.730677
Alma Deli Ltd.json,Alma Deli Ltd,Alma Deli Ltd.json,1,unique,False,2392375,1726066438.0
Alto Barren Plumbing & Heating Ltd.json,Alto Barren Plumbing & Heating Ltd,Alto Barren Plumbing & Heating Ltd.json,1,unique,False,183458,1719501168.0
Anthony Healthcare Ltd.json,Anthony Healthcare Ltd,Anthony Healthcare Ltd.json,1,unique,False,726762,1771591352.9436445
Anthony Transport Ltd.json,Anthony Transport Ltd,Anthony Transport Ltd.json,1,unique,False,117374,1719501901.0
Anzin Marketing Ltd.json,Anzin Marketing Ltd,Anzin Marketing Ltd.json,1,unique,False,94266,1726742578.0
Apex Kitchen Limited.json,Apex Kitchen Limited,Apex Kitchen Limited.json,1,unique,False,57281,1752744564.0
Apollo Cornwall Travel Limited.json,Apollo Cornwall Travel Limited,Apollo Cornwall Travel Limited.json,1,unique,False,800131,1723113998.0
Apollo Supermarket.json,Apollo Supermarket,Apollo Supermarket.json,1,unique,False,798035,1771591353.4766326
Apprintable Limited.json,Apprintable Limited,Apprintable Limited.json,1,unique,False,5564453,1771591353.7768977
Arcane Acres Limited.json,Arcane Acres Limited,Arcane Acres Limited.json,1,unique,False,1258328,1745403932.0
ARTHUR'S IT SERVICES Limited.json,ARTHUR'S IT SERVICES Limited,ARTHUR'S IT SERVICES Limited.json,1,unique,False,185018,1719502447.0
ARYAANCOMPANY Ltd.json,ARYAANCOMPANY Ltd,ARYAANCOMPANY Ltd.json,1,unique,False,1499779,1775658938.0
AS Cladding And Roofing Ltd.json,AS Cladding And Roofing Ltd,AS Cladding And Roofing Ltd.json,1,unique,False,208366,1771591341.9647334
As Derby Restaurants Ltd.json,As Derby Restaurants Ltd,As Derby Restaurants Ltd.json,1,unique,False,3685125,1773048406.0
As You Like IT Building Services Ltd.json,As You Like IT Building Services Ltd,As You Like IT Building Services Ltd.json,1,unique,False,200768,1719502848.0
Ashby Street Motors Ltd.json,Ashby Street Motors Ltd,Ashby Street Motors Ltd.json,1,unique,False,1386432,1771591288.563789
Asmaraltd.json,Asmaraltd,Asmaraltd.json,1,unique,False,336057,1750943241.0
Aspect Projects.json,Aspect Projects,Aspect Projects.json,1,unique,False,192269,1752750046.0
Astra Power Generation Limited.json,Astra Power Generation Limited,Astra Power Generation Limited.json,1,unique,False,121179,1719504298.0
Aurina Ltd.json,Aurina Ltd,Aurina Ltd.json,1,unique,False,3675290,1771591288.654766
Auto Repairs Basingstoke Ltd.json,Auto Repairs Basingstoke Ltd,Auto Repairs Basingstoke Ltd.json,1,unique,False,2354921,1771591288.813707
AYA & Partners.json,AYA & Partners,AYA & Partners.json,1,unique,False,190274,1752749469.0
Ayaz Tyres & Wheels Ltd.json,Ayaz Tyres & Wheels Ltd,Ayaz Tyres & Wheels Ltd.json,1,unique,False,1482624,1771591288.932833
Baby Ultrasound Clinic Limited.json,Baby Ultrasound Clinic Limited,Baby Ultrasound Clinic Limited.json,1,unique,False,7612896,1771591289.264123
Baig Halal Butcher Ltd.json,Baig Halal Butcher Ltd,Baig Halal Butcher Ltd.json,1,unique,False,990607,1771591289.5969489
BBD Services Ltd.json,BBD Services Ltd,BBD Services Ltd.json,1,unique,False,1065480,1771591359.467711
BD HEALTH SOLUTIONS Ltd.json,BD HEALTH SOLUTIONS Ltd,BD HEALTH SOLUTIONS Ltd.json,1,unique,False,159769,1719560029.0
Beddoes Removals And Stotage.json,Beddoes Removals And Stotage,Beddoes Removals And Stotage.json,1,unique,False,2957438,1771591289.6637142
Bedew Skin Ltd.json,Bedew Skin Ltd,Bedew Skin Ltd.json,1,unique,False,4708449,1726256723.0
Befirst Constructions Ltd.json,Befirst Constructions Ltd,Befirst Constructions Ltd.json,1,unique,False,1476839,1771591362.8079324
Beforethefall - 01.json,Beforethefall,Beforethefall - 01.json,2,collision_numbered,False,2842321,1720426889.0
Beforethefall - 02.json,Beforethefall,Beforethefall - 02.json,2,collision_numbered,False,4527233,1771591364.8565874
Besachkarma Limited.json,Besachkarma Limited,Besachkarma Limited.json,1,unique,False,3647135,1771591366.039812
Beyond Social Media (UK) Ltd.json,Beyond Social Media (UK) Ltd,Beyond Social Media (UK) Ltd.json,1,unique,False,1249168,1771591290.1469483
Big Bro Bao Ltd.json,Big Bro Bao Ltd,Big Bro Bao Ltd.json,1,unique,False,4733809,1743498859.0
Bistro Bites Ltd.json,Bistro Bites Ltd,Bistro Bites Ltd.json,1,unique,False,526497,1774521327.0
BK Maintenance Services Limited.json,BK Maintenance Services Limited,BK Maintenance Services Limited.json,1,unique,False,195445,1752750048.0
BLACKFEN FOOD Ltd.json,BLACKFEN FOOD Ltd,BLACKFEN FOOD Ltd.json,1,unique,False,1551031,1771591289.063717
Blisshealth Concepts Limited.json,Blisshealth Concepts Limited,Blisshealth Concepts Limited.json,1,unique,False,654672,1771591368.006218
Blossom Ladies Boutiques Ltd.json,Blossom Ladies Boutiques Ltd,Blossom Ladies Boutiques Ltd.json,1,unique,False,176796,1719560331.0
BLOSSOM SALON Ltd.json,BLOSSOM SALON Ltd,BLOSSOM SALON Ltd.json,1,unique,False,763435,1771591289.130842
Boiler Solutions Cover UK.json,Boiler Solutions Cover UK,Boiler Solutions Cover UK.json,1,unique,False,2532016,1771591368.2710745
Bottom Line Consultants Ltd.json,Bottom Line Consultants Ltd,Bottom Line Consultants Ltd.json,1,unique,False,743324,1771591368.5553591
Bound Studios Ltd - 01.json,Bound Studios Ltd,Bound Studios Ltd - 01.json,2,collision_numbered,False,2301338,1743586482.0
Bound Studios Ltd - 02.json,Bound Studios Ltd,Bound Studios Ltd - 02.json,2,collision_numbered,False,2298479,1741268768.0
Bramble And Willow Ltd.json,Bramble And Willow Ltd,Bramble And Willow Ltd.json,1,unique,False,1487161,1771591368.9385753
Brandin Agency.json,Brandin Agency,Brandin Agency.json,1,unique,False,187155,1719560589.0
Brazilian Cleaning Essential Ltd - 01.json,Brazilian Cleaning Essential Ltd,Brazilian Cleaning Essential Ltd - 01.json,2,collision_numbered,False,1955487,1763541563.0
Brazilian Cleaning Essential Ltd - 02.json,Brazilian Cleaning Essential Ltd,Brazilian Cleaning Essential Ltd - 02.json,2,collision_numbered,False,1209722,1771591290.163568
Brookhouse Hypnotherapy Ltd.json,Brookhouse Hypnotherapy Ltd,Brookhouse Hypnotherapy Ltd.json,1,unique,False,1772617,1771591290.1801705
Brunch Munch Poole Ltd.json,Brunch Munch Poole Ltd,Brunch Munch Poole Ltd.json,1,unique,False,178709,1719560702.0
BTWBTW Ltd - 01.json,BTWBTW Ltd,BTWBTW Ltd - 01.json,2,collision_numbered,False,674804,1719566380.0
BTWBTW Ltd - 02.json,BTWBTW Ltd,BTWBTW Ltd - 02.json,2,collision_numbered,False,1088845,1771591359.7587056
Bubble Waffle Limited.json,Bubble Waffle Limited,Bubble Waffle Limited.json,1,unique,False,192411,1752750049.0
Bubblegum Brats Limited.json,Bubblegum Brats Limited,Bubblegum Brats Limited.json,1,unique,False,255660,1747903767.0
BUHARY CONSTRUCTIONS Ltd.json,BUHARY CONSTRUCTIONS Ltd,BUHARY CONSTRUCTIONS Ltd.json,1,unique,False,406754,1744882844.0
Bulgarian Food Pirin Ltd.json,Bulgarian Food Pirin Ltd,Bulgarian Food Pirin Ltd.json,1,unique,False,958147,1771591290.1801705
Bunker Publishing - 01.json,Bunker Publishing,Bunker Publishing - 01.json,3,collision_numbered,False,2347035,1719251400.0
Bunker Publishing - 02.json,Bunker Publishing,Bunker Publishing - 02.json,3,collision_numbered,False,3683679,1771591369.355115
Bunker Publishing - 03.json,Bunker Publishing,Bunker Publishing - 03.json,3,collision_numbered,False,3678937,1726256724.0
By Old Ltd.json,By Old Ltd,By Old Ltd.json,1,unique,False,3239335,1771591371.9344423
Cakes By Aleina Ltd.json,Cakes By Aleina Ltd,Cakes By Aleina Ltd.json,1,unique,False,1060121,1771591290.2466197
Camliamo London Ltd.json,Camliamo London Ltd,Camliamo London Ltd.json,1,unique,False,2638637,1723451519.0
Canny Fast Car Solutions Ltd.json,Canny Fast Car Solutions Ltd,Canny Fast Car Solutions Ltd.json,1,unique,False,47415,1771591290.2466197
Car Connect Rentals.json,Car Connect Rentals,Car Connect Rentals.json,1,unique,False,189045,1771591290.2466197
Carter Locksmiths.json,Carter Locksmiths,Carter Locksmiths.json,1,unique,False,168688,1719907715.0
CDS Wholesale Limited.json,CDS Wholesale Limited,CDS Wholesale Limited.json,1,unique,False,558623,1771591290.213578
Ceiling Suppliers - 01.json,Ceiling Suppliers,Ceiling Suppliers - 01.json,3,collision_numbered,False,733635,1722326785.0
Ceiling Suppliers - 02.json,Ceiling Suppliers,Ceiling Suppliers - 02.json,3,collision_numbered,False,1161082,1771591374.6877937
Ceiling Suppliers - 03.json,Ceiling Suppliers,Ceiling Suppliers - 03.json,3,collision_numbered,False,1162265,1726256725.0
Cellor Shades.json,Cellor Shades,Cellor Shades.json,1,unique,False,6999496,1771591290.2804441
Cetin Barber Beauty Ltd - 01.json,Cetin Barber Beauty Ltd,Cetin Barber Beauty Ltd - 01.json,2,collision_numbered,False,803888,1752749767.0
Cetin Barber Beauty Ltd - 02.json,Cetin Barber Beauty Ltd,Cetin Barber Beauty Ltd - 02.json,2,collision_numbered,False,855714,1771591290.2950454
Champagne One Ltd.json,Champagne One Ltd,Champagne One Ltd.json,1,unique,False,2787981,1771591293.3289838
Charles Bread Limited.json,Charles Bread Limited,Charles Bread Limited.json,1,unique,False,6354563,1724945440.0
CHEERS&CHILL Limited.json,CHEERS&CHILL Limited,CHEERS&CHILL Limited.json,1,unique,False,2353877,1771591290.2299876
Chillbeam Limited - 01.json,Chillbeam Limited,Chillbeam Limited - 01.json,2,collision_numbered,False,593447,1739959918.0
Chillbeam Limited - 02.json,Chillbeam Limited,Chillbeam Limited - 02.json,2,collision_numbered,False,573811,1739443923.0
Chilli Too Limited.json,Chilli Too Limited,Chilli Too Limited.json,1,unique,False,3044188,1771591293.3607135
Chocholivenetworks201.json,Chocholivenetworks201,Chocholivenetworks201.json,1,unique,False,1211263,1725265124.0
Christ Advocates Church Ltd.json,Christ Advocates Church Ltd,Christ Advocates Church Ltd.json,1,unique,False,99255,1723038320.0
Class Barber Sw Ltd.json,Class Barber Sw Ltd,Class Barber Sw Ltd.json,1,unique,False,1161571,1771591290.2967663
Cleaner Than Ever Norbury Ltd.json,Cleaner Than Ever Norbury Ltd,Cleaner Than Ever Norbury Ltd.json,1,unique,False,6816836,1771591290.3135152
COAST 2 COAST ( HALIFAX) Ltd.json,COAST 2 COAST ( HALIFAX) Ltd,COAST 2 COAST ( HALIFAX) Ltd.json,1,unique,False,2067217,1747393142.0
Coasties Collectables Ltd.json,Coasties Collectables Ltd,Coasties Collectables Ltd.json,1,unique,False,634639,1774021076.0
Cola Ship Limited.json,Cola Ship Limited,Cola Ship Limited.json,1,unique,False,1287052,1748860939.0
Company Name VISA & IT Ltd.json,Company Name VISA & IT Ltd,Company Name VISA & IT Ltd.json,1,unique,False,268774,1720429050.0
Coordinate Saas Ltd.json,Coordinate Saas Ltd,Coordinate Saas Ltd.json,1,unique,False,2111592,1738681931.0
CoreERP Solutions - 01.json,CoreERP Solutions,CoreERP Solutions - 01.json,2,collision_numbered,False,466404,1726065481.0
