company_name,application_file,Outcome,Funding Reliance Ratio,External Funding Reliance Ratio,Internal Transfer Activity Ratio,Bank Charge Count,Bank Charge Burden,Revenue Regularity Score,Deposit Frequency Score,Top Revenue Source Percentage,Revenue Concentration Ratio,NSF Count 90D,Active Lenders Detected,Average Inflow Gap Days,Max Inflow Gap Days,Advanced Risk Score
A&A Building Construction Ltd,A&A Building Construction Ltd.json,0,0.0,0.0,0.868,21,0.0303,0,0,92.3,0.854,0,0,36.4,112.0,37.5
Accounted Ltd,Accounted Ltd.json,0,0.0,0.022,0.307,1,0.0826,41,4,68.4,0.481,0,0,6.6,25.0,52.2
Advanced Automotive Performance Ltd,Advanced Automotive Performance Ltd.json,0,0.0,0.579,0.594,17,0.0114,27,40,38.1,0.218,3,2,12.6,77.0,46.2
Aesthetic Precision,Aesthetic Precision.json,0,0.0,0.001,0.194,0,0.0,80,60,39.0,0.159,0,0,3.3,11.0,74.5
Akar Food Ltd,Akar Food Ltd.json,1,0.0,0.0,0.844,0,0.0,0,0,100.0,0.5,0,1,0.0,30.0,42.5
Alex Sounthhampton,Alex Sounthhampton.json,0,0.0,0.0,0.675,0,0.0,60,100,69.2,0.534,0,0,1.2,15.0,58.5
All In The Wrap Limited,All in the wrap Limited.json,0,0.0,0.0,0.002,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
Anthony Healthcare Ltd,Anthony Healthcare Ltd.json,0,0.0,0.229,0.63,8,0.0194,40,0,99.0,0.981,13,1,6.3,25.0,11.5
Apollo Supermarket,Apollo Supermarket.json,0,0.0,0.766,0.292,0,0.0,40,40,13.2,0.07,0,0,6.7,28.0,67.5
Ashby Street Motors Ltd,Ashby Street Motors Ltd.json,0,0.0,0.26,0.641,5,0.0478,26,8,35.2,0.258,2,1,19.1,57.0,21.3
Aurina Ltd,Aurina Ltd.json,0,0.0,0.551,0.572,14,0.0058,40,16,53.1,0.342,3,2,3.7,14.0,33.9
Auto Repairs Basingstoke Ltd,Auto Repairs Basingstoke Ltd.json,0,0.0,0.113,0.376,0,0.0,80,60,65.4,0.457,0,1,2.3,13.0,59.5
Ayaz Tyres & Wheels Ltd,Ayaz Tyres & Wheels ltd.json,1,0.0,0.016,0.34,44,0.0664,40,12,86.7,0.753,0,1,4.2,96.0,38.3
Baby Ultrasound Clinic Limited,Baby ultrasound clinic limited.json,0,0.0,0.0,0.689,23,0.4816,40,4,61.4,0.413,0,3,10.7,45.0,32.1
Baig Halal Butcher Ltd,Baig halal butcher ltd.json,0,0.0,0.713,0.484,3,0.0013,44,4,60.8,0.471,8,1,17.1,90.0,22.5
Beddoes Removals And Stotage,Beddoes removals and stotage.json,1,0.0,0.03,0.658,29,0.0052,40,40,15.7,0.062,11,1,5.5,52.0,52.5
Bedew Skin Ltd,Bedew Skin Ltd.json,0,0.0,0.141,0.297,8,0.0285,80,100,71.7,0.543,3,1,1.5,5.0,45.5
Beforethefall,Beforethefall.json,0,0.0,0.0,0.846,339,0.0172,37,12,59.3,0.409,0,0,13.5,115.0,53.0
Besachkarma Limited,Besachkarma Limited.json,0,0.0,0.0,0.681,0,0.0,60,60,100.0,1.0,0,0,3.3,16.0,52.5
Beyond Social Media (Uk) Ltd,Beyond Social Media (UK) Ltd.json,0,0.0,0.0,0.867,0,0.0,100,4,100.0,1.0,0,0,81.0,81.0,48.1
Blackfen Food Ltd,BLACKFEN FOOD LTD.json,1,0.0,0.074,0.287,6,0.0016,100,40,51.1,0.325,20,1,3.1,6.0,33.5
Blisshealth Concepts Limited,Blisshealth Concepts Limited.json,0,0.906,0.906,0.35,20,2.0712,28,4,89.0,0.801,0,0,133.0,252.0,40.9
Blossom Salon Ltd,BLOSSOM SALON LTD.json,0,0.0,0.001,0.396,0,0.0,40,100,3.4,0.017,0,0,3.7,153.0,76.5
Boiler Solutions Cover Uk,Boiler Solutions Cover UK.json,0,0.0,0.071,0.7,0,0.0,60,4,9.5,0.048,13,0,5.4,32.0,54.1
Bottom Line Consultants Ltd,Bottom Line Consultants Ltd.json,0,0.0,0.155,0.395,0,0.0,40,0,50.7,0.385,0,1,17.7,43.0,46.5
Bramble And Willow Ltd,Bramble and Willow Ltd.json,0,0.0,0.0,0.545,0,0.0,60,100,74.4,0.616,0,2,3.4,94.0,48.5
Brazilian Cleaning Essential Ltd,Brazilian cleaning essential ltd.json,0,0.0,0.0,0.56,4,0.0002,80,60,82.0,0.683,2,1,3.0,15.0,24.5
Brookhouse Hypnotherapy Ltd,Brookhouse Hypnotherapy Ltd.json,1,0.0,0.0,0.596,0,0.0,40,12,34.2,0.208,0,2,7.6,17.0,53.3
Btwbtw Ltd,BTWBTW Ltd.json,0,0.0,0.96,0.602,0,0.0,100,12,71.9,0.596,0,0,10.0,11.0,49.3
Bulgarian Food Pirin Ltd,Bulgarian Food Pirin Ltd.json,0,0.0,0.0,0.603,0,0.0,60,100,62.3,0.432,0,0,3.2,98.0,68.5
Bunker Publishing,Bunker Publishing.json,0,0.0,0.036,0.613,56,0.0012,60,80,77.1,0.604,0,1,1.5,5.0,50.5
Cakes By Aleina Ltd,Cakes by Aleina Ltd.json,0,0.0,0.0,0.714,0,0.0,80,16,7.9,0.034,0,1,4.6,22.0,62.9
Canny Fast Car Solutions Ltd,Canny fast car solutions Ltd.json,0,0.0,0.0,0.333,0,0.0,40,4,60.1,0.402,0,1,10.0,27.0,47.1
Cds Wholesale Limited,CDS Wholesale Limited.json,0,0.0,0.364,0.68,0,0.0,60,8,77.5,0.615,0,0,9.8,41.0,44.7
Cellor Shades,Cellor Shades.json,0,0.0,0.727,0.727,0,0.0,40,40,40.3,0.245,0,1,6.9,31.0,62.5
