application_id,company_name,original_filename,outcome_label,paid_flag,not_paid_flag,defaulted_flag,industry,requested_loan,company_age_months,directors_score,director_defaults_12m,director_defaults_36m,director_ccj_count,director_ccj_value,business_ccj,business_credit_score_suppressed,business_credit_limit,business_max_recommended_credit,business_negative_impact_count,business_enquiries_3m,business_bureau_needs_attention,Total Revenue,Monthly Average Revenue,Total Expenses,Net Income,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Gross Burn Rate,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Open Banking Insights Used In Score,OB Transaction Count,OB History Months,OB True Revenue,OB Non-Revenue Inflow Ratio,OB Revenue Active Day Rate,OB Top Revenue Source Percentage,OB Card Processor Revenue Share,OB Weakest Month Revenue,OB Debt Repayment Burden,OB Recent Loan Credits 30D,OB Low Balance Days <1000,OB Recent Failed Payments 30D,mca_rule_score,mca_rule_decision,subprime_score,subprime_tier,final_decision,source_run,outcome,challenger_prob_paid_cv,challenger_pd_cv,challenger_pred_label_cv
101673.0,Ellevate Ltd,Ellevate Ltd.json,not_paid,False,True,True,Other,8000.0,29,60,0.0,6.0,1.0,959.0,False,False,0.0,0.0,1.0,5.0,True,91134.24,7010.33,101703.87,-10569.63,11900.0,0.131,-0.116,50.0,7823.37,0.519,0.21,1000.0,5,0,No - analysis/export only,382.0,13.0,91134.24,0.115,0.315,30.9,0.394,616.91,0.014,8200.0,0.0,0.0,10,DECLINE,70.0,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.13853224921811794,0.8614677507818821,not_paid
101680.0,Boiler Solution Cover Uk Getreportbyid,Boiler solution cover uk - GetReportByID1.json,paid,True,False,False,Other,10000.0,71,76,0.0,1.0,0.0,0.0,False,False,500.0,500.0,1.0,55.0,True,180497.74,16408.89,176305.42,4192.32,7670.0,0.042,0.023,12.99,16027.77,0.411,-0.19,1000.0,4,0,No - analysis/export only,1654.0,11.0,180497.74,0.074,0.654,12.5,0.0,3820.74,0.081,2820.0,0.0,0.0,10,DECLINE,69.1,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,1,0.8759773581300504,0.1240226418699496,paid
101680.0,Boiler Solution Cover Uk Getreportbyid,Boiler solution cover uk - GetReportByID.json,paid,True,False,False,Other,10000.0,71,76,0.0,1.0,0.0,0.0,False,False,500.0,500.0,1.0,55.0,True,177345.92,16122.36,175890.1,1455.82,7670.0,0.043,0.008,13.04,15990.01,0.457,-0.19,1000.0,4,0,No - analysis/export only,1640.0,11.0,177345.92,0.076,0.657,12.7,0.0,668.92,0.081,2820.0,0.0,0.0,10,DECLINE,64.3,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,1,0.8318705711993112,0.16812942880068882,paid
101673.0,Ellevate Limited Getreportbyid,Ellevate Limited - GetReportByID 3.json,not_paid,False,True,True,Other,8000.0,29,60,0.0,6.0,1.0,959.0,False,False,0.0,0.0,1.0,5.0,True,86919.37,6686.11,89159.3,-2239.93,3700.0,0.043,-0.026,50.0,6858.41,0.593,0.21,1000.0,5,0,No - analysis/export only,388.0,13.0,86919.37,0.041,0.305,33.6,0.425,2052.04,0.015,0.0,0.0,0.0,10,DECLINE,70.5,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.17641958044149597,0.823580419558504,not_paid
101673.0,Ellevate Limited Getreportbyid,Ellevate Limited - GetReportByID2.json,not_paid,False,True,True,Other,8000.0,29,60,0.0,6.0,1.0,959.0,False,False,0.0,0.0,1.0,5.0,True,87459.11,6727.62,89159.3,-1700.19,3700.0,0.042,-0.019,50.0,6858.41,0.581,0.15,1000.0,5,0,No - analysis/export only,389.0,13.0,87459.11,0.041,0.306,34.0,0.428,2558.04,0.015,0.0,0.0,0.0,10,DECLINE,71.4,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.25777285024634167,0.7422271497536583,not_paid
100251.0,Cs Sports,CS Sports.json,paid,True,False,False,Other,6000.0,37,86,0.0,0.0,0.0,0.0,False,,,,,,,12789.43,6394.72,6551.06,6238.37,1410.0,0.11,0.488,1.78,3275.53,0.12,0.19,1559.59,0,0,No - analysis/export only,100.0,2.0,12789.43,0.099,0.727,55.1,0.586,5850.02,0.563,1410.0,0.0,1.0,10,DECLINE,92.9,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,1,0.7371677988430912,0.26283220115690875,paid
101462.0,White Canvas Bridal Ltd Getreportbyid,White Canvas Bridal Ltd - GetReportByID.json,paid,True,False,False,Other,10000.0,35,91,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,11.0,True,27854.94,13927.47,23062.83,4792.11,5600.0,0.201,0.172,5.83,11531.42,0.099,0.15,1198.03,0,0,No - analysis/export only,100.0,2.0,27854.94,0.167,0.594,11.0,0.477,12947.6,0.171,5600.0,0.0,1.0,62,REFER,91.1,Tier 1,REFER,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,1,0.6402226861611076,0.35977731383889244,paid
101673.0,Ellevate Limited Getreportbyid,Ellevate Limited - GetReportByID1.json,not_paid,False,True,True,Other,8000.0,29,60,0.0,6.0,1.0,959.0,False,False,0.0,0.0,1.0,5.0,True,86059.11,6619.93,88726.65,-2667.54,3700.0,0.043,-0.031,50.0,6825.13,0.581,0.21,1000.0,5,0,No - analysis/export only,385.0,13.0,86059.11,0.041,0.302,34.6,0.435,2558.04,0.015,0.0,0.0,0.0,10,DECLINE,70.5,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.15586660339314562,0.8441333966068544,not_paid
101649.0,Bound Studios Ltd,Bound Studios Ltd App 2020425.json,not_paid,False,True,True,Other,2000.0,30,71,0.0,3.0,0.0,0.0,False,False,500.0,500.0,0.0,16.0,True,115983.1,8921.78,143917.72,-27934.62,35875.0,0.309,-0.241,6.7,11070.59,0.698,0.04,1000.0,6,0,No - analysis/export only,1742.0,13.0,115983.1,0.317,0.655,30.0,0.493,463.86,0.149,400.0,0.0,13.0,69,REFER,59.5,Tier 2,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.3243236244303211,0.6756763755696789,not_paid
100160.0,South Coast Auto Ltd,South Coast Auto Ltd.json,not_paid,False,True,True,Other,7000.0,33,72,0.0,0.0,1.0,316.0,True,False,500.0,500.0,3.0,6.0,True,284412.4,28441.24,324256.16,-39843.76,44175.0,0.155,-0.14,32.95,32425.62,0.804,0.06,1000.0,8,0,No - analysis/export only,521.0,10.0,284412.4,0.146,0.518,23.3,0.0,479.34,0.03,0.0,0.0,0.0,10,DECLINE,52.8,Tier 3,DECLINE,C:\Users\Massimo Cristi\OneDrive - Savvy Loan Products Ltd\Merchant Cash Advance (MCA)\Scorecard\Scorecard Development\Saved_batch_processor_runs\20260519_130147_Scorecard_run_2026-05-19_1214.zip,0,0.48595029286096003,0.51404970713904,not_paid
