Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
74.0,35121.0,0,0.0,-0.116,50.0,0.9461369304432353,-0.09303471287559448,4214.189166666666,0.0,0,101.0,0,0,A&A Building Construction Ltd
33.02,66578.0,0,0.0,0.04,19.98,0.7543694053482198,1.4842767040350056,1259.6355555555563,0.0,8,42.0,0,0,Accounted Ltd
81.22,395692.0,0,0.0,-0.113,6.88,0.5861114099855486,-0.3687964611388178,629.5307692307712,10.461538461538462,0,146.0,0,0,Advanced Automotive Performance Ltd
73.67,71438.0,0,0.0,0.003,50.0,0.3883255857104457,0.08681442777084289,531.2161538461538,0.7692307692307693,1,37.0,0,0,Aesthetic Precision
69.09,71177.0,0,0.0,-0.083,50.0,0.38913816454376643,0.14502016169080112,3015.93,0.0,0,59.0,0,1,Akar Food Ltd
77.8,496670.0,0,0.0,-0.07,50.0,0.5033612292895215,0.01791437120243742,3423.546923076903,1.5384615384615385,0,33.0,0,0,Alex Sounthhampton
69.22,56.0,0,0.0,1.0,4.66,1.0,-1.0,0.3799999999999969,0.0,0,47.0,0,0,All In The Wrap Limited
81.67,24086.0,0,0.0,-1.0,26.66,0.7780683016478762,-0.35341908388802734,18119.894545454536,5.090909090909091,0,29.0,0,0,Anthony Healthcare Ltd
65.33,42162.0,0,0.0,0.041,6.42,0.6535330274554033,3.107638621032511,176.9000000000001,0.0,0,26.0,0,0,Apollo Supermarket
76.9,595829.0,0,0.0,0.075,11.08,0.41554440709983786,0.23241923679067694,7518.159999999996,0.0,4,21.0,0,0,Ashby Street Motors Ltd
85.45,324114.0,0,0.0,0.029,6.55,0.40828810028218215,0.03719629383541543,-635.1107692307776,16.46153846153846,10,176.0,0,0,Aurina Ltd
86.11,91857.0,0,0.0,-0.028,24.84,0.41795683810909956,-0.18425633371575123,-409.39461538461666,21.923076923076923,0,15.0,0,0,Auto Repairs Basingstoke Ltd
90.93,90459.0,0,0.0,0.112,8.09,0.20270496577083774,0.08352791599502912,460.15538461538563,5.3076923076923075,0,74.0,0,1,Ayaz Tyres & Wheels Ltd
88.46,615695.0,0,0.0,0.201,4.14,0.37304330686666554,-0.2630948901474807,-159.11230769229584,14.692307692307692,1,123.0,0,0,Baby Ultrasound Clinic Limited
79.72,416017.0,0,0.0,-0.011,21.99,0.5504035236142627,-0.20268057920617638,2262.665555555557,8.555555555555555,10,17.0,0,0,Baig Halal Butcher Ltd
71.16,143221.0,0,0.0,0.021,18.57,0.4081429955240192,0.5301700558858184,749.6953846153831,6.3076923076923075,0,32.0,0,1,Beddoes Removals And Stotage
72.77,158663.0,0,0.0,-0.129,3.35,0.4323985391206356,-0.33988990386506435,3945.1092307692275,1.1538461538461537,12,62.0,0,0,Bedew Skin Ltd
86.74,85090.0,0,0.0,-0.156,50.0,0.5541851282625384,0.532177271753543,865.2038461538475,4.923076923076923,1,24.0,0,0,Beforethefall
72.11,139303.0,0,0.0,-0.001,50.0,0.3925101613270834,-0.2270149346552343,839.9730769230769,0.46153846153846156,0,30.0,0,0,Besachkarma Limited
79.57,84152.0,0,0.0,-0.013,50.0,0.7251899463511297,-0.7774601637868616,2430.768461538473,0.0,0,108.0,0,0,Beyond Social Media (Uk) Ltd
81.21,122517.0,0,0.0,-0.042,50.0,0.1944281781830232,-0.05169813722837753,1453.9999999999968,0.0,25,12.0,0,1,Blackfen Food Ltd
86.89,13440.0,0,0.0,-1.0,1.13,0.5669177343327809,-0.11371050564984789,35489.76076923077,0.0,0,22.0,0,0,Blisshealth Concepts Limited
79.62,55289.0,0,0.0,0.056,50.0,1.0445596362897058,12.965956889995068,465.14333333333343,17.833333333333332,0,29.0,0,0,Blossom Salon Ltd
81.21,180498.0,0,0.0,0.023,12.99,0.3740795500216643,-0.07983330452858504,2456.9009090909135,0.09090909090909091,0,68.0,0,0,Boiler Solution Cover Uk
81.21,205965.0,0,0.0,0.017,10.63,0.36809658744602786,-0.10004420307258848,1758.8184615384662,0.7692307692307693,13,68.0,0,0,Boiler Solutions Cover Uk
39.83,164943.0,0,0.0,-0.039,13.3,0.9472090071595564,-0.4403032707148048,15071.66846153846,0.38461538461538464,0,116.0,0,0,Bottom Line Consultants Ltd
79.23,155142.0,0,0.0,-0.087,46.67,0.5941896883300027,0.1333760770806272,3110.5492307692334,0.0,0,27.0,0,0,Bramble And Willow Ltd
70.8,324953.0,0,0.0,-0.002,34.13,0.5225444484436037,1.3107439498784956,1030.891000000002,0.1,2,13.0,0,0,Brazilian Cleaning Essential Ltd
83.89,70884.0,0,0.0,0.075,8.84,0.1260170140154957,-0.13511649523304956,843.6849999999995,2.5,0,262.0,0,1,Brookhouse Hypnotherapy Ltd
66.93,78668.0,0,0.0,-0.172,50.0,0.5814632112082738,1.5206577959730447,1893.4550000000004,0.0,0,22.0,0,0,Btwbtw Ltd
67.56,134713.0,0,0.0,-0.029,50.0,0.37925771241424555,-0.0023919760980312234,545.2292307692321,2.230769230769231,0,33.0,0,0,Bulgarian Food Pirin Ltd
81.55,114758.0,0,0.0,-0.542,18.14,0.43279520650156056,-0.334724930149012,47918.82461538445,0.0,0,123.0,0,0,Bunker Publishing
92.54,44295.0,0,0.0,-0.218,6.63,0.597483526559767,-0.44521932914021567,1645.4970000000035,0.0,0,26.0,0,0,Cakes By Aleina Ltd
71.77,13833.0,0,0.0,0.362,14.21,0.4926050351076392,1.9021680874230622,1934.6774999999998,0.0,0,49.0,0,0,Canny Fast Car Solutions Ltd
82.21,31391.0,0,0.0,-0.067,12.56,0.36445110409527814,-0.4132214860064658,2545.222,2.4,0,30.0,0,0,Cds Wholesale Limited
68.44,89072.0,0,0.0,-0.075,41.38,1.0018926191766646,7.676375773047301,783.0584615384639,5.846153846153846,0,34.0,0,0,Cellor Shades
86.26,66278.0,0,0.0,-0.198,23.92,0.3723144057736934,0.1955000868615071,856.5069230769229,0.6153846153846154,0,73.0,0,0,Cetin Barber Beauty Ltd
72.27,247354.0,0,0.0,-1.0,3.78,0.7824426418004058,-0.6937211422909154,3903.9400000000023,2.1538461538461537,0,121.0,0,0,Champagne One Ltd
75.56,346957.0,0,0.0,0.396,1.79,0.3209323846108828,0.29864568283957305,7678.1507692307705,1.1538461538461537,3,22.0,0,0,Cheers&Chill Limited
72.16,213798.0,0,0.0,0.006,50.0,0.3673739672041101,-0.08789197492478931,8466.174999999997,0.0,0,15.0,0,0,Chilli Too Limited
86.98,117255.0,0,0.0,-0.01,6.36,0.47891267801652193,0.13381904833053687,731.6253846153847,0.38461538461538464,0,38.0,0,1,Class Barber Sw Ltd
