feature_a,feature_b,ref_corr,syn_corr,corr_diff
Directors Score,Total Revenue,0.046675755850601165,0.0412586680742307,-0.005417087776370462
Directors Score,Total Debt,,0.008418691256148927,
Directors Score,Debt-to-Income Ratio,,-0.018294144781359697,
Directors Score,Operating Margin,-0.06755842386010558,-0.09673413260209467,-0.02917570874198909
Directors Score,Debt Service Coverage Ratio,-0.15548960727902097,-0.016041452773875333,0.13944815450514564
Directors Score,Cash Flow Volatility,-0.07469248501514816,-0.06567127523136541,0.00902120978378275
Directors Score,Revenue Growth Rate,0.056703408810739056,0.006370199889477296,-0.05033320892126176
Directors Score,Average Month-End Balance,0.05413932944092175,0.03315026517090841,-0.02098906427001334
Directors Score,Average Negative Balance Days per Month,0.01643094345487405,0.02130736452488235,0.0048764210700083
Directors Score,Number of Bounced Payments,0.028444486389173154,0.03819753229354676,0.009753045904373609
Directors Score,Company Age (Months),0.06085340776899143,0.10080318644050265,0.03994977867151122
Directors Score,Sector_Risk,,,
Total Revenue,Total Debt,,0.6015385425358049,
Total Revenue,Debt-to-Income Ratio,,-0.01600760903947206,
Total Revenue,Operating Margin,0.09017999567729407,0.0881421618095954,-0.0020378338676986657
Total Revenue,Debt Service Coverage Ratio,-0.0715935912147596,0.007897179770050064,0.07949077098480967
Total Revenue,Cash Flow Volatility,-0.07151419991128766,-0.07583323857716581,-0.0043190386658781554
Total Revenue,Revenue Growth Rate,-0.012292833782655064,-0.03742436829746812,-0.025131534514813057
Total Revenue,Average Month-End Balance,0.3048802375498258,0.27847898246261615,-0.02640125508720964
Total Revenue,Average Negative Balance Days per Month,0.018849879167124873,-0.0045437644531455025,-0.023393643620270375
Total Revenue,Number of Bounced Payments,0.004258844214870869,0.0027785600787652337,-0.0014802841361056351
Total Revenue,Company Age (Months),0.22365595662199275,0.23984934347563153,0.016193386853638775
Total Revenue,Sector_Risk,,,
Total Debt,Debt-to-Income Ratio,,0.24874701912224761,
Total Debt,Operating Margin,,0.041876753290674494,
Total Debt,Debt Service Coverage Ratio,,-0.06927972461519924,
Total Debt,Cash Flow Volatility,,-0.053802058442800074,
Total Debt,Revenue Growth Rate,,-0.02069281035896537,
Total Debt,Average Month-End Balance,,0.14286777772189385,
Total Debt,Average Negative Balance Days per Month,,0.013065480668398985,
Total Debt,Number of Bounced Payments,,-0.004783466809232312,
Total Debt,Company Age (Months),,0.14984252220071848,
Total Debt,Sector_Risk,,,
Debt-to-Income Ratio,Operating Margin,,0.0364708587633027,
Debt-to-Income Ratio,Debt Service Coverage Ratio,,-0.1756460109535525,
Debt-to-Income Ratio,Cash Flow Volatility,,0.029353051072455488,
Debt-to-Income Ratio,Revenue Growth Rate,,0.026376131481704684,
