feature,ref_mean,syn_mean,ref_median,syn_median,ref_std,syn_std,ref_min,syn_min,ref_max,syn_max,ref_null_count,syn_null_count,ref_impossible_count,syn_impossible_count
Directors Score,74.51223880597014,74.189,77.795,77.0,13.038944038366068,13.11523115649466,42.29,37.0,95.61,100.0,0,0,0,0
Total Revenue,292123.3246268657,427229.8366508964,71391.0,116115.11513158819,2311312.296725275,2408020.570961394,20.0,0.0,37706033.0,38198646.17454904,0,0,0,0
Total Debt,0.0,29611.0497318651,0.0,0.0,0.0,150855.57739788573,0.0,0.0,0.0,3624588.9317251113,0,0,0,0
Debt-to-Income Ratio,0.0,0.0800938442749799,0.0,0.0006662853381594165,0.0,0.11964919974950519,0.0,0.0,0.0,0.6177024389720568,0,0,0,0
Operating Margin,-0.07769543073376955,-0.05846546818060156,-0.010499999999999999,-0.014083685998556469,0.31662410614283726,0.3133088015503953,-1.0,-1.0,1.0,1.0,0,0,0,0
Debt Service Coverage Ratio,21.7880223880597,5.801087046497875,13.105,10.0,18.32343570606788,12.887021921125562,1.01,0.0,50.0,380.4225997671681,0,0,0,0
Cash Flow Volatility,0.5951230783934798,0.6015487096715383,0.5002904706842317,0.5212088717693524,0.3153805513550476,0.33061586895618605,0.034593811534917,0.0,2.3842396160717767,2.4177699923270097,0,0,0,0
Revenue Growth Rate,1.305963359435597,0.6969606326530813,0.03776758739700315,0.02272885112442014,11.504445151096636,1.8972518907108118,-1.0,-1.0,183.66056982061204,5.0,0,0,10,0
Average Month-End Balance,3243.838709034642,3224.6283278379524,826.8015384615387,1324.6673681799748,9667.500926799199,10354.123814020742,-26953.99923076931,-27235.394259079174,90378.69230769228,93526.148257901,0,0,0,0
Average Negative Balance Days per Month,4.981787294380578,5.5475601412076765,2.0,2.4113896941464663,6.589816621343075,6.735480550515967,0.0,0.0,25.714285714285715,27.719831101515975,0,0,0,0
Number of Bounced Payments,1.8880597014925373,2.542,0.0,0.0,11.401859660238683,12.837095739575483,0.0,0.0,177.0,179.0,0,0,0,0
Company Age (Months),53.23880597014925,50.673,35.5,37.0,45.3835389162355,42.58144255717801,3.0,0.0,294.0,306.0,0,0,0,0
Sector_Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
