application_id,requested_loan,company_age_months,directors_score,outcome
 TASTE OF BENGAL BROADWAY LTD,10000,25,54.32,
+234,10000,25,77.6,
1888 trading ltd,10000,76,0,
22LUSH LTD,2000,64,0,
A&A Building Construction ltd,10000,101,0,
A1 Painting and Decorating LTD,3000,27,89.11,
Accounted LTD,5000,42,54.21,
Advanced Automotive performance ltd ,10000,146,81.22,
ADVANCED SCAFFOLDING SOLUTIONS LIMITED,10000,34,87.69,
Aesthetic Precision,5000,37,73.67,
agricgem ltd,4000,62,82.37,
Akar Food Ltd,10000,59,69.09,
AKLE HEALTHCARE SUPPORT LTD,10000,29,78.64,
Aksz ltd,10000,27,68.1,
All In The Wrap Ltd,5000,47,69.22,
Allure Salon (NE) LTD,7000,45,79.42,
alma deli  ltd,8000,30,86.89,
Alto Barren Plumbing & Heating Ltd,4000,93,82.15,
Anthony Healthcare ltd,10000,29,92.75,
Anthony transport ltd,7000,98,90.26,
ANZIN MARKETING LTD,2000,29,0,
apex kitchen limited,10000,46,66.85,
Apollo cornwall travel limited,5000,41,71.6,
Apollo Supermarket Ltd,10000,26,65.33,
Apprintable Limited,10000,129,96.09,
Arcane Acres Limited,10000,52,90.93,
Ark Deliveries LTD,4000,58,82.37,
ARTHUR'S IT SERVICES LIMITED,10000,39,79.63,
As You Like It Building Services LTD,10000,144,79.23,
Ashby street motors ltd,10000,21,76.9,
ASMARA LTD,10000,12,76.09,
Aspect Projects ,3000,27,65.71,
Astra Power Generation Limited,10000,135,85.15,
Aurina Ltd,10000,176,0,
Auto Repairs Basingstoke Ltd ,6000,15,86.11,
AYA & Partners,3000,42,84.36,
Ayaz Tyres & Wheels ltd,5000,74,90.93,
Baby ultrasound clinic limited ,10000,123,87.4,
Baig halal butcher ltd ,9000,17,88.35,
BARRY'S FOOD STORES LTD,10000,30,84.2,
Bbd services Ltd ,8000,116,75.94,
BD HEALTH SOLUTIONS LTD,8000,60,83.1,
Beddoes removals and stotage,6000,32,71.16,
Bedew Skin LTD,5000,62,83.24,
Befirst Constructions Ltd,2000,29,72.15,
beforethefall,4000,24,86.74,
besachkarma limited ,9000,30,72.11,
Beyond Social Media (UK) Ltd,4000,108,79.57,
Big bro bao ltd,5000,28,91.77,
BK Maintenance Services Limited,2000,63,76.13,
BLACKFEN FOOD LTD,10000,12,0,
Blisshealth Concepts Limited,8000,22,85.38,
Blossom Ladies Boutiques ltd ,4000,133,74.77,
BLOSSOM SALON LTD ,10000,29,79.62,
Boiler solution cover uk,5000,68,79.53,
bottom line consultants ltd,6000,116,0,
BOUND STUDIOS LTD,8000,27,71.09,
Bramble and Willow Ltd,8000,27,79.23,
Brandin Agency,8000,61,75.61,
Brazilian cleaning essential Ltd ,5000,13,75.94,
Brookhouse Hypnotherapy Ltd,3000,262,83.89,
Brunch Munch Poole ltd,7000,31,51.93,
Btwbtw ltd,10000,22,0,
Bubastore LTD ,10000,23,70.44,
Bubble Waffle Limited,6000,33,74.33,
Bubblegum brats limited ,10000,21,70.2,
Bulgarian food pirin Ltd,10000,33,67.56,
by Ola ltd,2000,28,90.42,
CAKES BY ALEINA LTD,2000,26,92.54,
Caliamo london Ltd ,5000,29,76.97,
Canny fast car solutions Ltd ,10000,49,71.77,
car point 7 ltd,5000,31,69.42,
Carter Locksmiths ,10000,47,77.27,
CDS Wholesale Limited,10000,30,82.21,
Ceiling Suppliers,10000,45,0,
Cellor Shades,2000,34,68.44,
Cetin barber beauty ltd,10000,73,88.44,
champagne one ltd,10000,121,72.27,
CHAPTER 8 GROUP LIMITED,10000,29,52.72,
CHARLES BREAD LIMITED,10000,112,91.25,
CHEERS&CHILL LIMITED,10000,22,75.56,
CHEF MATEI BARAN EVENTS LTD,10000,38,65.8,
Chillbeam ltd,10000,24,75.04,
chilli too limited,10000,15,72.16,
Chloespcosmetics,10000,22,89.21,
Chocholivenetworks201@gmail.com,2000,72,85.16,
Christ Advocates Church Ltd,5000,33,67.3,
Class barber sw Ltd ,6000,38,86.98,
Cleaner Than Ever Norbury Ltd ,3000,41,76.93,
Clickinit Online Ltd,5000,33,54.36,
COAST 2 COAST ( HALIFAX) LTD,10000,29,75.67,
COMPNY NAME VISA&IT LTD,10000,26,85.22,
Coordinate SaaS Ltd,10000,101,85.97,
CoreERP Solutions,10000,27,80.67,
Crazy Daisy's,10000,30,88.25,
Creative Plus Media Ltd,10000,28,82.64,
Creativo Oculus ,5000,117,69.78,
Crownstep Limited,5000,69,76.41,
CRS Group SE Ltd ,9000,110,84.07,
crunch group ltd,3000,49,69.71,
Cs sports limited ,6000,34,86.9,
csi interiors,6000,34,73.42,
Custom Car Paint LTD,5000,15,62.15,
D&C Couriers Ltd,10000,65,87.49,
D&C ROOFING & CLADDING LTD,7000,25,0,
Data4est LTD,3000,32,75.91,
Davaro limited,10000,13,0,
Dave&STransport ltd,2000,22,34.87,
Del Castillo Latin Productions LTD,10000,12,62.4,
Delche Gaming LTD,10000,20,85.08,
Deli ice limited,2000,78,0,
