identifier,file,score
100295,MISSING,0
100364,MISSING,0
100033,MISSING,0
101509,MISSING,0
100309,MISSING,0
100107,MISSING,0
100351,MISSING,0
101639,MISSING,0
101639,MISSING,0
101664,MISSING,0
100291,MISSING,0
100244,MISSING,0
101424,MISSING,0
100092,MISSING,0
100238,MISSING,0
101422,MISSING,0
100258,MISSING,0
100142,MISSING,0
100032,MISSING,0
100032,MISSING,0
100039,MISSING,0
100217,MISSING,0
101598,MISSING,0
101689,MISSING,0
100073,MISSING,0
100096,MISSING,0
100385,MISSING,0
101610,MISSING,0
101561,MISSING,0
100106,MISSING,0
100120,MISSING,0
100271,MISSING,0
100306,MISSING,0
100389,MISSING,0
100164,MISSING,0
101563,MISSING,0
100103,MISSING,0
101489,MISSING,0
100394,MISSING,0
101493,MISSING,0
101670,MISSING,0
101670,MISSING,0
100339,MISSING,0
100190,MISSING,0
100126,MISSING,0
100157,MISSING,0
100172,MISSING,0
101605,MISSING,0
100214,MISSING,0
100122,MISSING,0
100138,MISSING,0
101671,MISSING,0
100348,MISSING,0
100348,MISSING,0
101506,MISSING,0
100176,MISSING,0
100308,MISSING,0
101456,MISSING,0
101654,MISSING,0
101465,MISSING,0
101419,MISSING,0
101478,MISSING,0
101589,MISSING,0
101650,MISSING,0
100095,MISSING,0
101559,MISSING,0
101559,MISSING,0
100090,MISSING,0
100044,MISSING,0
100167,MISSING,0
101645,MISSING,0
101680,MISSING,0
101680,MISSING,0
101562,MISSING,0
101562,MISSING,0
101640,MISSING,0
101640,MISSING,0
101649,MISSING,0
101551,MISSING,0
100239,MISSING,0
101576,MISSING,0
100094,MISSING,0
100406,MISSING,0
100406,MISSING,0
100180,MISSING,0
100184,MISSING,0
100184,MISSING,0
100268,MISSING,0
101599,MISSING,0
100132,MISSING,0
100132,MISSING,0
101502,MISSING,0
100287,MISSING,0
101614,MISSING,0
101492,MISSING,0
100338,MISSING,0
100156,MISSING,0
101468,MISSING,0
101468,MISSING,0
100104,MISSING,0
101668,MISSING,0
100254,MISSING,0
100181,MISSING,0
101527,MISSING,0
100171,MISSING,0
101529,MISSING,0
100014,MISSING,0
100245,MISSING,0
100266,MISSING,0
101634,MISSING,0
101634,MISSING,0
100179,MISSING,0
100212,MISSING,0
101532,MISSING,0
101483,MISSING,0
101483,MISSING,0
100228,MISSING,0
100146,MISSING,0
100378,MISSING,0
100378,MISSING,0
100018,MISSING,0
100023,MISSING,0
101423,MISSING,0
101631,MISSING,0
100273,MISSING,0
101560,MISSING,0
101560,MISSING,0
100085,MISSING,0
100150,MISSING,0
100199,MISSING,0
100310,MISSING,0
100173,MISSING,0
100246,MISSING,0
100362,MISSING,0
101688,MISSING,0
100235,MISSING,0
101556,MISSING,0
101516,MISSING,0
100251,MISSING,0
100312,MISSING,0
100116,MISSING,0
100322,MISSING,0
101482,MISSING,0
101482,MISSING,0
101608,MISSING,0
101608,MISSING,0
101677,MISSING,0
100155,MISSING,0
100305,MISSING,0
101667,MISSING,0
101676,MISSING,0
101646,MISSING,0
101448,MISSING,0
101448,MISSING,0
101434,MISSING,0
100074,MISSING,0
100215,MISSING,0
101547,MISSING,0
100034,MISSING,0
100332,MISSING,0
100045,MISSING,0
101466,MISSING,0
100207,MISSING,0
100422,MISSING,0
100243,MISSING,0
100229,MISSING,0
100041,MISSING,0
100399,MISSING,0
100380,MISSING,0
